Ranking	Clube	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	Total
1	São Paulo	78	82	58	78	77	75	65	55	59	66	50	70	62	52	50	63	1040
2	Cruzeiro	100	56	60	53	60	67	62	69	43	52	76	80	55	51	57	53	994
3	Santos	87	89	59	64	62	45	49	56	53	53	57	53	58	71	63	50	969
4	Corinthians	59	74	81	53	44	-	52	68	71	57	50	69	81	55	72	44	930
5	Flamengo	66	54	55	52	61	64	67	44	61	50	45	52	49	71	56	72	919
6	Internacional	72	67	78	69	54	54	65	58	60	52	48	69	60	43	-	69	918
7	Grêmio	50	39	-	67	58	72	55	63	48	71	65	61	68	53	62	66	898
8	Fluminense	52	67	68	45	61	45	46	71	63	77	46	61	47	50	47	45	891
9	Atlético Mineiro	72	53	47	-	55	48	56	45	45	72	57	62	69	62	54	59	856
10	Atlético Paranaense	61	86	61	48	54	45	48	60	41	-	64	54	51	57	51	57	838
11	Palmeiras	-	79	70	44	58	65	62	50	50	34	-	40	53	80	63	80	828
12	Botafogo	-	51	59	51	55	53	47	59	56	55	61	34	-	59	53	51	744
13	Vasco da Gama	54	54	56	59	54	40	-	49	69	58	44	-	41	-	56	43	677
14	Coritiba	73	62	49	-	-	53	45	-	57	48	48	47	44	46	43	-	615
15	Goiás	65	72	74	55	45	53	55	33	-	-	59	47	38	-	-	-	596
16	Figueirense	65	63	53	57	53	44	-	-	58	30	-	47	43	37	-	-	550
17	Ponte Preta	50	64	51	39	-	-	-	-	-	48	37	-	51	53	39	-	432
18	Vitória	56	48	-	-	-	52	48	42	-	-	59	38	-	45	43	37	468
19	Sport	-	-	-	-	51	52	31	-	-	41	-	52	59	47	45	42	373
20	Bahia	46	-	-	-	-	-	-	-	46	47	48	37	-	-	50	48	322
21	Paraná	65	54	61	60	41	-	-	-	-	-	-	-	-	-	-	23	304
22	Juventude	53	70	55	47	41	-	-	-	-	-	-	-	-	-	-	-	266
23	Chapecoense	-	-	-	-	-	-	-	-	-	-	-	43	47	52	54	44	240
24	Avaí	-	-	-	-	-	-	57	43	31	-	-	-	42	-	43	-	216
25	São Caetano	74	53	52	36	-	-	-	-	-	-	-	-	-	-	-	-	212
26	Náutico	-	-	-	-	49	44	38	-	-	49	20	-	-	-	-	-	200
27	Criciúma	60	50	-	-	-	-	-	-	-	-	46	32	-	-	-	-	188
28	Atlético Goianiense	-	-	-	-	-	-	-	42	48	30	-	-	-	-	36	-	156
29	Guarani	61	49	-	-	-	-	-	37	-	-	-	-	-	-	-	-	147
30	Paysandu	49	56	41	-	-	-	-	-	-	-	-	-	-	-	-	-	146
31	Fortaleza	49	-	55	38	-	-	-	-	-	-	-	-	-	-	-	-	142
32	Ceará	-	-	-	-	-	-	-	47	39	-	-	-	-	-	-	44	130
33	Portuguesa	-	-	-	-	-	38	-	-	-	45	44	-	-	-	-	-	127
34	América Mineiro	-	-	-	-	-	-	-	-	37	-	-	-	-	28	-	40	105
35	Grêmio Barueri	-	-	-	-	-	-	49	28	-	-	-	-	-	-	-	-	77
36	Santa Cruz	-	-	-	28	-	-	-	-	-	-	-	-	-	31	-	-	59
37	Santo André	-	-	-	-	-	-	41	-	-	-	-	-	-	-	-	-	41
38	Brasiliense	-	-	41	-	-	-	-	-	-	-	-	-	-	-	-	-	41
39	Ipatinga	-	-	-	-	-	35	-	-	-	-	-	-	-	-	-	-	35
40	Joinville	-	-	-	-	-	-	-	-	-	-	-	-	31	-	-	-	31
41	América de Natal	-	-	-	-	17	-	-	-	-	-	-	-	-	-	-	-	17
